Last Run,Task Link,Search Results URL on Google Maps,Max Results,Position,Title,Rating,Review,Information,Link
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,11,Burger Bach,4.4,1024.0,"Restaurant · 2225 Old Brick Rd
Open ⋅ Closes 9 PM",https://www.google.com/maps/place/Burger+Bach/data=!4m7!3m6!1s0x89b16a8ed6b76459:0x6242999f55fb563c!8m2!3d37.6473595!4d-77.6011745!16s%2Fg%2F1yhbl8yzw!19sChIJWWS31o5qsYkRPFb7VZ-ZQmI?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,12,Tarrant's West,4.3,1527.0,"American · 11129 Three Chopt Rd
Charming bistro for American cuisine
Open ⋅ Closes 10 PM",https://www.google.com/maps/place/Tarrant%27s+West/data=!4m7!3m6!1s0x89b16a94937ae5a1:0x1c7e07b5ad47a24c!8m2!3d37.6400575!4d-77.5894215!16s%2Fg%2F11b6zvr7wr!19sChIJoeV6k5RqsYkRTKJHrbUHfhw?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,13,Tazza Kitchen Short Pump,4.6,841.0,"American · 3332 Pump Rd
Hip hangout with a locally sourced menu
Open ⋅ Closes 2 PM ⋅ Reopens 4:30 PM",https://www.google.com/maps/place/Tazza+Kitchen+Short+Pump/data=!4m7!3m6!1s0x89b16a643d784337:0x87f92ec0659d7acd!8m2!3d37.6475!4d-77.6152778!16s%2Fg%2F12h_2z26g!19sChIJN0N4PWRqsYkRzXqdZcAu-Yc?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,14,Taziki's Mediterranean Cafe - Innsbrook,4.4,565.0,"Mediterranean · 4024 Cox Rd Ste C
Informal stop for Mediterranean fare
Open ⋅ Closes 9 PM",https://www.google.com/maps/place/Taziki%27s+Mediterranean+Cafe+-+Innsbrook/data=!4m7!3m6!1s0x89b16abd52745299:0x62fb469f7a08238d!8m2!3d37.648174!4d-77.58384!16s%2Fg%2F12hvxv27g!19sChIJmVJ0Ur1qsYkRjSMIep9G-2I?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,15,Capriccios Italian Restaurant,4.6,815.0,"Italian · 9127 W Broad St
Pizza & subs plus a casual dining area
Open ⋅ Closes 9:30 PM",https://www.google.com/maps/place/Capriccios+Italian+Restaurant/data=!4m7!3m6!1s0x89b115487d1d5029:0xae6880eececcd63a!8m2!3d37.6354516!4d-77.5521645!16s%2Fg%2F1tjds678!19sChIJKVAdfUgVsYkROtbMzu6AaK4?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,16,Portico Restaurant,4.6,782.0,"Italian · 12506 River Rd
Italian fare in a cottage with a terrace
Open ⋅ Closes 2 PM ⋅ Reopens 4:30 PM",https://www.google.com/maps/place/Portico+Restaurant/data=!4m7!3m6!1s0x89b16bf8d5ea9307:0x1c1447ba56a76fbb!8m2!3d37.5847328!4d-77.646953!16s%2Fg%2F1td5y0kh!19sChIJB5Pq1fhrsYkRu2-nVrpHFBw?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,17,Genghis Grill,4.2,1661.0,"Restaurant · 11849 W Broad St
Open ⋅ Closes 9 PM",https://www.google.com/maps/place/Genghis+Grill/data=!4m7!3m6!1s0x89b16a733e6b611b:0x9cf1ffe3ad91f0e0!8m2!3d37.6537895!4d-77.6234294!16s%2Fg%2F11h01msgb!19sChIJG2FrPnNqsYkR4PCRreP_8Zw?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,18,Chuy's,4.3,1242.0,"Tex Mex · 11229 W Broad St
Colorful Tex-Mex chain with big portions
Open ⋅ Closes 9 PM",https://www.google.com/maps/place/Chuy%27s/data=!4m7!3m6!1s0x89b16a8f38f3cc6f:0xd61418ec9ff1477d!8m2!3d37.6487589!4d-77.601109!16s%2Fg%2F1pp2vkgx_!19sChIJb8zzOI9qsYkRfUfxn-wYFNY?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,19,Silver Diner,4.3,3413.0,"Diner · 10890 W Broad St
Retro diner with American comfort fare
Open ⋅ Closes 12 AM",https://www.google.com/maps/place/Silver+Diner/data=!4m7!3m6!1s0x89b16abd2156b449:0xf1bd76af6972c7cc!8m2!3d37.647429!4d-77.58211!16s%2Fg%2F1tflsx69!19sChIJSbRWIb1qsYkRzMdyaa92vfE?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,20,Red Robin Gourmet Burgers and Brews,4.0,1502.0,"Restaurant · 11748 W Broad St
Specialty burger & shake chain
Open ⋅ Closes 10 PM",https://www.google.com/maps/place/Red+Robin+Gourmet+Burgers+and+Brews/data=!4m7!3m6!1s0x89b16a7176180bb1:0x9d40cef2f7bbcffd!8m2!3d37.6552363!4d-77.6240394!16s%2Fg%2F1thx09qt!19sChIJsQsYdnFqsYkR_c-79_LOQJ0?authuser=0&hl=en&rclk=1
